cropname,statename,cropyear,seasonname,Area (Lakh Ha),Production (Lakh Tonnes),Yield (Kg/Ha),Source
Bajra,All India,1966-67,Total,122.4,44.68,365.0,DA&FW
Bajra,All India,1967-68,Total,128.08,51.85,405.0,DA&FW
Bajra,All India,1968-69,Total,120.52,38.02,315.0,DA&FW
Bajra,All India,1969-70,Total,124.93,53.27,426.0,DA&FW
Bajra,All India,1970-71,Total,129.13,80.29,622.0,DA&FW
Bajra,All India,1971-72,Total,117.73,53.19,452.0,DA&FW
Bajra,All India,1972-73,Total,118.17,39.29,333.0,DA&FW
Bajra,All India,1973-74,Total,139.33,75.19,540.0,DA&FW
Bajra,All India,1974-75,Total,112.58,32.72,291.0,DA&FW
Bajra,All India,1975-76,Total,115.71,57.36,496.0,DA&FW
Bajra,All India,1976-77,Total,107.51,58.53,544.0,DA&FW
Bajra,All India,1977-78,Total,111.04,47.3,426.0,DA&FW
Bajra,All India,1978-79,Total,113.93,55.66,489.0,DA&FW
Bajra,All India,1979-80,Total,105.79,40.48,383.0,DA&FW
Bajra,All India,1980-81,Total,116.57,53.43,458.0,DA&FW
Bajra,All India,1981-82,Total,117.84,55.37,470.0,DA&FW
Bajra,All India,1982-83,Total,109.42,51.31,469.0,DA&FW
Bajra,All India,1983-84,Total,118.32,77.26,653.0,DA&FW
Bajra,All India,1984-85,Total,106.19,60.46,569.0,DA&FW
Bajra,All India,1985-86,Total,106.52,36.64,344.0,DA&FW
Bajra,All India,1986-87,Total,112.66,45.14,401.0,DA&FW
Bajra,All India,1987-88,Total,87.13,32.98,378.0,DA&FW
Bajra,All India,1988-89,Total,120.46,77.8,646.0,DA&FW
Bajra,All India,1989-90,Total,109.0,66.49,610.0,DA&FW
Bajra,All India,1990-91,Total,104.76,68.94,658.0,DA&FW
Bajra,All India,1991-92,Total,100.28,46.65,465.0,DA&FW
Bajra,All India,1992-93,Total,106.17,88.81,836.0,DA&FW
Bajra,All India,1993-94,Total,99.06,49.74,502.0,DA&FW
Bajra,All India,1994-95,Total,102.23,71.6,700.0,DA&FW
Bajra,All India,1995-96,Total,93.19,53.81,577.0,DA&FW
