cropname,statename,cropyear,seasonname,Area (Lakh Ha),Production (Lakh Tonnes),Yield (Kg/Ha),Source
Gram,All India,1966-67,Total,80.03,36.22,453.0,DA&FW
Gram,All India,1967-68,Total,82.57,59.72,723.0,DA&FW
Gram,All India,1968-69,Total,71.06,43.1,607.0,DA&FW
Gram,All India,1969-70,Total,77.52,55.46,715.0,DA&FW
Gram,All India,1970-71,Total,78.39,51.99,663.0,DA&FW
Gram,All India,1971-72,Total,79.12,50.81,642.0,DA&FW
Gram,All India,1972-73,Total,69.68,45.37,651.0,DA&FW
Gram,All India,1973-74,Total,77.61,40.99,528.0,DA&FW
Gram,All India,1974-75,Total,70.42,40.15,570.0,DA&FW
Gram,All India,1975-76,Total,83.2,58.8,707.0,DA&FW
Gram,All India,1976-77,Total,79.75,54.24,680.0,DA&FW
Gram,All India,1977-78,Total,79.74,54.1,678.0,DA&FW
Gram,All India,1978-79,Total,77.08,57.39,745.0,DA&FW
Gram,All India,1979-80,Total,69.85,33.56,481.0,DA&FW
Gram,All India,1980-81,Total,65.85,43.28,657.0,DA&FW
Gram,All India,1981-82,Total,78.68,46.42,590.0,DA&FW
Gram,All India,1982-83,Total,73.99,52.9,715.0,DA&FW
Gram,All India,1983-84,Total,71.61,47.51,663.0,DA&FW
Gram,All India,1984-85,Total,69.04,45.61,661.0,DA&FW
Gram,All India,1985-86,Total,78.05,57.88,742.0,DA&FW
Gram,All India,1986-87,Total,69.84,45.32,649.0,DA&FW
Gram,All India,1987-88,Total,55.67,36.26,651.0,DA&FW
Gram,All India,1988-89,Total,68.1,51.29,753.0,DA&FW
Gram,All India,1989-90,Total,64.71,42.17,652.0,DA&FW
Gram,All India,1990-91,Total,75.21,53.56,712.0,DA&FW
Gram,All India,1991-92,Total,55.8,41.21,739.0,DA&FW
Gram,All India,1992-93,Total,64.54,44.17,684.0,DA&FW
Gram,All India,1993-94,Total,63.59,49.81,783.0,DA&FW
Gram,All India,1994-95,Total,75.43,64.36,853.0,DA&FW
Gram,All India,1995-96,Total,71.16,49.79,700.0,DA&FW
Gram,All India,1996-97,Total,68.47,55.7,814.0,DA&FW
Gram,All India,1997-98,Total,75.63,61.32,811.0,DA&FW
Gram,All India,1998-99,Total,84.69,68.01,803.0,DA&FW
Gram,All India,1999-00,Total,61.46,51.18,833.0,DA&FW
Gram,All India,2000-01,Total,51.85,38.55,744.0,DA&FW
Gram,All India,2001-02,Total,64.16,54.73,853.0,DA&FW
Gram,All India,2002-03,Total,59.06,42.37,717.0,DA&FW
Gram,All India,2003-04,Total,70.48,57.18,811.0,DA&FW
Gram,All India,2004-05,Total,67.15,54.69,815.0,DA&FW
Gram,All India,2005-06,Total,69.26,56.0,808.0,DA&FW
Gram,All India,2006-07,Total,74.94,63.34,845.0,DA&FW
Gram,All India,2007-08,Total,75.44,57.49,762.0,DA&FW
Gram,All India,2008-09,Total,78.93,70.6,895.0,DA&FW
Gram,All India,2009-10,Total,81.69,74.76,915.0,DA&FW
Gram,All India,2010-11,Total,91.86,82.21,895.0,DA&FW
Gram,All India,2011-12,Total,82.99,77.02,928.0,DA&FW
Gram,All India,2012-13,Total,85.22,88.32,1036.0,DA&FW
Gram,All India,2013-14,Total,99.27,95.26,960.0,DA&FW
Gram,All India,2014-15,Total,82.51,73.32,889.0,DA&FW
