cropname,statename,cropyear,seasonname,Production (Lakh Tonnes),majorcrops,Source
Sugarcane,Others,2025-26,Total,5.9,,DA&FW
Sugarcane,Himachal Pradesh,2025-26,Total,0.21,"Maize, Wheat, Rice, Other Pulses, Barley",DA&FW
Sugarcane,Punjab,2025-26,Total,78.74,"Wheat, Rice, Sugarcane, Cotton, Maize",DA&FW
Sugarcane,Uttarakhand,2025-26,Total,77.48,"Sugarcane, Wheat, Rice, Ragi, Small Millets",DA&FW
Sugarcane,Haryana,2025-26,Total,76.11,"Wheat, Sugarcane, Rice, Rapeseed & Mustard, Cotton",DA&FW
Sugarcane,Rajasthan,2025-26,Total,3.32,"Wheat, Rapeseed & Mustard, Bajra, Cotton, Maize",DA&FW
Sugarcane,Uttar Pradesh,2025-26,Total,2208.01,"Sugarcane, Wheat, Rice, Bajra, Maize",DA&FW
Sugarcane,Bihar,2025-26,Total,127.21,"Sugarcane, Rice, Wheat, Maize, Jute",DA&FW
Sugarcane,Assam,2025-26,Total,12.07,"Rice, Sugarcane, Jute, Maize, Rapeseed & Mustard",DA&FW
Sugarcane,West Bengal,2025-26,Total,7.32,"Rice, Jute, Maize, Sugarcane, Rapeseed & Mustard",DA&FW
Sugarcane,Jharkhand,2025-26,Total,0.25,"Rice, Maize, Wheat, Rapeseed & Mustard, Gram",DA&FW
Sugarcane,Odisha,2025-26,Total,5.75,"Rice, Cotton, Sugarcane, Maize, Other Pulses",DA&FW
Sugarcane,Chhattisgarh,2025-26,Total,24.65,"Rice, Sugarcane, Maize, Gram, Wheat",DA&FW
Sugarcane,Madhya Pradesh,2025-26,Total,20.54,"Wheat, Rice, Sugarcane, Maize, Soybean",DA&FW
Sugarcane,Gujarat,2025-26,Total,134.92,"Sugarcane, Cotton, Groundnut, Wheat, Rice",DA&FW
Sugarcane,Maharashtra,2025-26,Total,1292.71,"Sugarcane, Cotton, Soybean, Maize, Rice",DA&FW
Sugarcane,Andhra Pradesh,2025-26,Total,14.0,"Rice, Sugarcane, Maize, Cotton, Groundnut",DA&FW
Sugarcane,Karnataka,2025-26,Total,550.8,"Sugarcane, Maize, Rice, Cotton, Ragi",DA&FW
Sugarcane,Kerala,2025-26,Total,0.04,"Rice, Sugarcane, Other Pulses, Urad, Gram",DA&FW
Sugarcane,Tamil Nadu,2025-26,Total,96.16,"Sugarcane, Rice, Maize, Groundnut, Jowar",DA&FW
Sugarcane,Telangana,2025-26,Total,19.94,"Rice, Cotton, Maize, Sugarcane, Soybean",DA&FW
Sugarcane,All India,2025-26,Total,4756.14,,DA&FW
