cropname,statename,cropyear,seasonname,Area (Lakh Ha),Production (Lakh Tonnes),Yield (Kg/Ha),Source
Cotton,All India,1966-67,Total,78.36,49.73,108.0,DA&FW
Cotton,All India,1967-68,Total,79.95,54.54,116.0,DA&FW
Cotton,All India,1968-69,Total,76.85,52.7,117.0,DA&FW
Cotton,All India,1969-70,Total,77.31,52.55,116.0,DA&FW
Cotton,All India,1970-71,Total,76.05,44.99,101.0,DA&FW
Cotton,All India,1971-72,Total,78.0,65.64,143.0,DA&FW
Cotton,All India,1972-73,Total,76.79,57.35,127.0,DA&FW
Cotton,All India,1973-74,Total,75.74,63.09,142.0,DA&FW
Cotton,All India,1974-75,Total,75.62,71.56,161.0,DA&FW
Cotton,All India,1975-76,Total,73.5,59.5,138.0,DA&FW
Cotton,All India,1976-77,Total,69.3,58.39,143.0,DA&FW
Cotton,All India,1977-78,Total,78.66,72.43,157.0,DA&FW
Cotton,All India,1978-79,Total,81.19,79.58,167.0,DA&FW
Cotton,All India,1979-80,Total,81.26,76.48,160.0,DA&FW
Cotton,All India,1980-81,Total,78.23,70.1,152.0,DA&FW
Cotton,All India,1981-82,Total,80.57,78.84,166.0,DA&FW
Cotton,All India,1982-83,Total,78.71,75.35,163.0,DA&FW
Cotton,All India,1983-84,Total,77.21,63.86,141.0,DA&FW
Cotton,All India,1984-85,Total,73.82,85.07,196.0,DA&FW
Cotton,All India,1985-86,Total,75.33,87.27,197.0,DA&FW
Cotton,All India,1986-87,Total,69.48,69.05,169.0,DA&FW
Cotton,All India,1987-88,Total,64.59,63.82,168.0,DA&FW
Cotton,All India,1988-89,Total,73.43,87.44,202.0,DA&FW
Cotton,All India,1989-90,Total,76.95,114.22,252.0,DA&FW
Cotton,All India,1990-91,Total,74.4,98.42,225.0,DA&FW
Cotton,All India,1991-92,Total,76.61,97.06,215.0,DA&FW
Cotton,All India,1992-93,Total,75.42,114.03,257.0,DA&FW
Cotton,All India,1993-94,Total,73.21,107.41,249.0,DA&FW
Cotton,All India,1994-95,Total,78.71,118.88,257.0,DA&FW
Cotton,All India,1995-96,Total,90.35,128.61,242.0,DA&FW
Cotton,All India,1996-97,Total,91.2,142.3,265.0,DA&FW
Cotton,All India,1997-98,Total,88.68,108.5,208.0,DA&FW
Cotton,All India,1998-99,Total,93.42,122.9,224.0,DA&FW
Cotton,All India,1999-00,Total,87.1,115.3,225.0,DA&FW
Cotton,All India,2000-01,Total,85.34,95.2,190.0,DA&FW
Cotton,All India,2001-02,Total,91.32,99.97,186.0,DA&FW
Cotton,All India,2002-03,Total,76.7,86.24,191.0,DA&FW
Cotton,All India,2003-04,Total,75.98,137.29,307.0,DA&FW
Cotton,All India,2004-05,Total,87.87,164.29,318.0,DA&FW
Cotton,All India,2005-06,Total,86.77,184.99,362.0,DA&FW
Cotton,All India,2006-07,Total,91.45,226.32,421.0,DA&FW
Cotton,All India,2007-08,Total,94.14,258.84,467.0,DA&FW
Cotton,All India,2008-09,Total,94.07,222.76,403.0,DA&FW
Cotton,All India,2009-10,Total,101.32,240.22,403.0,DA&FW
Cotton,All India,2010-11,Total,112.35,330.0,499.0,DA&FW
Cotton,All India,2011-12,Total,121.78,352.0,491.0,DA&FW
Cotton,All India,2012-13,Total,119.77,342.2,486.0,DA&FW
Cotton,All India,2013-14,Total,119.6,359.02,510.0,DA&FW
Cotton,All India,2014-15,Total,128.19,348.05,462.0,DA&FW
Cotton,All India,2015-16,Total,122.92,300.05,415.0,DA&FW
Cotton,All India,2016-17,Total,108.26,325.77,512.0,DA&FW
Cotton,All India,2017-18,Total,125.86,328.05,443.0,DA&FW
Cotton,All India,2018-19,Total,126.14,280.42,378.0,DA&FW
Cotton,All India,2019-20,Total,134.77,360.65,455.0,DA&FW
Cotton,All India,2020-21,Total,132.86,352.48,451.0,DA&FW
Cotton,All India,2021-22,Total,123.72,311.18,428.0,DA&FW
Cotton,All India,2022-23,Total,129.27,336.6,443.0,DA&FW
Cotton,All India,2023-24,Total,126.88,325.22,436.0,DA&FW
Cotton,All India,2024-25,Total,114.84,297.24,440.0,DA&FW
Cotton,All India,2025-26,Total,110.86,292.15,448.0,DA&FW
Guarseed,All India,1996-97,Total,21.25,8.86,417.0,DA&FW
Guarseed,All India,1997-98,Total,23.01,9.63,418.0,DA&FW
Guarseed,All India,1998-99,Total,19.22,4.89,254.0,DA&FW
Guarseed,All India,1999-00,Total,29.34,3.75,128.0,DA&FW
Guarseed,All India,2000-01,Total,34.97,6.59,188.0,DA&FW
Guarseed,All India,2001-02,Total,29.03,10.9,375.0,DA&FW
Guarseed,All India,2002-03,Total,9.75,1.99,204.0,DA&FW
Guarseed,All India,2003-04,Total,28.54,15.13,530.0,DA&FW
Guarseed,All India,2004-05,Total,28.67,9.03,315.0,DA&FW
Guarseed,All India,2005-06,Total,29.56,10.59,358.0,DA&FW
Guarseed,All India,2006-07,Total,33.44,11.69,350.0,DA&FW
Guarseed,All India,2007-08,Total,34.72,17.89,515.0,DA&FW
Guarseed,All India,2008-09,Total,38.62,19.36,501.0,DA&FW
Guarseed,All India,2021-22,Total,26.3,11.83,450.0,DA&FW
Guarseed,All India,2022-23,Total,32.13,17.87,556.0,DA&FW
Guarseed,All India,2023-24,Total,30.89,16.65,539.0,DA&FW
Guarseed,All India,2024-25,Total,32.22,22.04,684.0,DA&FW
Jute,All India,1966-67,Total,7.97,53.58,1210.0,DA&FW
Jute,All India,1967-68,Total,8.8,63.2,1293.0,DA&FW
Jute,All India,1968-69,Total,5.29,30.52,1039.0,DA&FW
Jute,All India,1969-70,Total,7.68,56.55,1326.0,DA&FW
Jute,All India,1970-71,Total,7.49,49.38,1186.0,DA&FW
Jute,All India,1971-72,Total,8.15,56.84,1255.0,DA&FW
Jute,All India,1972-73,Total,7.0,49.78,1280.0,DA&FW
Jute,All India,1973-74,Total,7.93,62.2,1412.0,DA&FW
Jute,All India,1974-75,Total,6.64,44.71,1211.0,DA&FW
Jute,All India,1975-76,Total,5.85,44.4,1367.0,DA&FW
Jute,All India,1976-77,Total,7.37,53.53,1307.0,DA&FW
Jute,All India,1977-78,Total,7.97,53.61,1210.0,DA&FW
Jute,All India,1978-79,Total,8.84,64.7,1317.0,DA&FW
Jute,All India,1979-80,Total,8.34,60.72,1310.0,DA&FW
Jute,All India,1980-81,Total,9.41,65.08,1245.0,DA&FW
Jute,All India,1981-82,Total,8.26,67.88,1480.0,DA&FW
Jute,All India,1982-83,Total,7.34,59.46,1458.0,DA&FW
Jute,All India,1983-84,Total,7.6,63.25,1498.0,DA&FW
Jute,All India,1984-85,Total,8.33,65.31,1411.0,DA&FW
Jute,All India,1985-86,Total,11.46,108.86,1710.0,DA&FW
Jute,All India,1986-87,Total,8.03,73.53,1649.0,DA&FW
Jute,All India,1987-88,Total,6.97,57.93,1496.0,DA&FW
Jute,All India,1988-89,Total,6.91,67.1,1748.0,DA&FW
Jute,All India,1989-90,Total,6.77,70.72,1879.0,DA&FW
Jute,All India,1990-91,Total,7.78,79.17,1833.0,DA&FW
Jute,All India,1991-92,Total,8.75,89.36,1837.0,DA&FW
Jute,All India,1992-93,Total,7.27,74.95,1857.0,DA&FW
Jute,All India,1993-94,Total,6.95,73.6,1907.0,DA&FW
Jute,All India,1994-95,Total,7.39,79.97,1949.0,DA&FW
Jute,All India,1995-96,Total,7.37,76.75,1875.0,DA&FW
Jute,All India,1996-97,Total,8.97,99.6,1999.0,DA&FW
Jute,All India,1997-98,Total,9.06,99.6,1978.0,DA&FW
Jute,All India,1998-99,Total,8.48,88.4,1876.0,DA&FW
Jute,All India,1999-00,Total,8.47,94.2,2003.0,DA&FW
Jute,All India,2000-01,Total,8.28,93.2,2026.0,DA&FW
Jute,All India,2001-02,Total,8.73,105.84,2182.0,DA&FW
Jute,All India,2002-03,Total,8.65,102.74,2139.0,DA&FW
Jute,All India,2003-04,Total,8.49,102.52,2173.0,DA&FW
Jute,All India,2004-05,Total,7.74,93.99,2186.0,DA&FW
Jute,All India,2005-06,Total,7.6,99.7,2362.0,DA&FW
Jute,All India,2006-07,Total,7.93,103.17,2342.0,DA&FW
Jute,All India,2007-08,Total,8.14,102.2,2260.0,DA&FW
Jute,All India,2008-09,Total,7.86,96.34,2207.0,DA&FW
Jute,All India,2009-10,Total,8.11,112.3,2492.0,DA&FW
Jute,All India,2010-11,Total,7.74,100.09,2329.0,DA&FW
Jute,All India,2011-12,Total,8.09,107.36,2389.0,DA&FW
Jute,All India,2012-13,Total,7.77,103.4,2396.0,DA&FW
Jute,All India,2013-14,Total,7.56,110.83,2639.0,DA&FW
Jute,All India,2014-15,Total,7.5,106.18,2549.0,DA&FW
Jute,All India,2015-16,Total,7.28,99.4,2457.0,DA&FW
Jute,All India,2016-17,Total,7.06,104.32,2660.0,DA&FW
Jute,All India,2017-18,Total,6.86,95.91,2517.0,DA&FW
Jute,All India,2018-19,Total,6.65,94.97,2569.0,DA&FW
Jute,All India,2019-20,Total,6.28,94.46,2706.0,DA&FW
Jute,All India,2020-21,Total,6.22,89.53,2591.0,DA&FW
Jute,All India,2021-22,Total,6.29,97.62,2793.0,DA&FW
Jute,All India,2022-23,Total,6.19,89.89,2614.0,DA&FW
Jute,All India,2023-24,Total,5.98,92.52,2783.0,DA&FW
Jute,All India,2024-25,Total,5.44,84.88,2807.0,DA&FW
Jute,All India,2025-26,Total,5.17,80.36,2798.0,DA&FW
Jute & Mesta,All India,1966-67,Total,11.19,65.79,1059.0,DA&FW
Jute & Mesta,All India,1967-68,Total,12.01,75.93,1138.0,DA&FW
Jute & Mesta,All India,1968-69,Total,8.05,39.59,885.0,DA&FW
Jute & Mesta,All India,1969-70,Total,10.89,67.85,1122.0,DA&FW
Jute & Mesta,All India,1970-71,Total,10.8,61.93,1032.0,DA&FW
Jute & Mesta,All India,1971-72,Total,11.11,68.35,1107.0,DA&FW
Jute & Mesta,All India,1972-73,Total,9.93,60.9,1104.0,DA&FW
Jute & Mesta,All India,1973-74,Total,11.63,76.77,1188.0,DA&FW
Jute & Mesta,All India,1974-75,Total,9.83,58.33,1068.0,DA&FW
Jute & Mesta,All India,1975-76,Total,9.14,59.14,1164.0,DA&FW
Jute & Mesta,All India,1976-77,Total,10.89,70.99,1173.0,DA&FW
Jute & Mesta,All India,1977-78,Total,11.63,71.54,1108.0,DA&FW
Jute & Mesta,All India,1978-79,Total,12.65,83.34,1186.0,DA&FW
Jute & Mesta,All India,1979-80,Total,12.17,79.61,1177.0,DA&FW
Jute & Mesta,All India,1980-81,Total,13.0,81.6,1130.0,DA&FW
Jute & Mesta,All India,1981-82,Total,11.49,83.7,1311.0,DA&FW
Jute & Mesta,All India,1982-83,Total,10.2,71.71,1265.0,DA&FW
Jute & Mesta,All India,1983-84,Total,10.53,77.24,1320.0,DA&FW
Jute & Mesta,All India,1984-85,Total,11.29,77.87,1242.0,DA&FW
Jute & Mesta,All India,1985-86,Total,14.94,126.47,1524.0,DA&FW
Jute & Mesta,All India,1986-87,Total,10.68,86.26,1454.0,DA&FW
Jute & Mesta,All India,1987-88,Total,9.48,67.78,1287.0,DA&FW
Jute & Mesta,All India,1988-89,Total,9.19,78.6,1540.0,DA&FW
Jute & Mesta,All India,1989-90,Total,9.07,82.09,1630.0,DA&FW
Jute & Mesta,All India,1990-91,Total,10.16,92.28,1634.0,DA&FW
Jute & Mesta,All India,1991-92,Total,11.14,102.86,1662.0,DA&FW
Jute & Mesta,All India,1992-93,Total,9.34,85.9,1656.0,DA&FW
Jute & Mesta,All India,1993-94,Total,8.85,84.28,1713.0,DA&FW
Jute & Mesta,All India,1994-95,Total,9.29,90.76,1760.0,DA&FW
Jute & Mesta,All India,1995-96,Total,9.26,88.07,1712.0,DA&FW
Jute & Mesta,All India,1996-97,Total,11.01,111.3,1819.0,DA&FW
Jute & Mesta,All India,1997-98,Total,11.07,110.2,1792.0,DA&FW
Jute & Mesta,All India,1998-99,Total,10.25,98.1,1722.0,DA&FW
Jute & Mesta,All India,1999-00,Total,10.35,105.5,1834.0,DA&FW
Jute & Mesta,All India,2000-01,Total,10.18,105.6,1868.0,DA&FW
Jute & Mesta,All India,2001-02,Total,10.47,116.78,2007.0,DA&FW
Jute & Mesta,All India,2002-03,Total,10.35,112.75,1960.0,DA&FW
Jute & Mesta,All India,2003-04,Total,10.02,111.73,2008.0,DA&FW
Jute & Mesta,All India,2004-05,Total,9.16,102.72,2019.0,DA&FW
Jute & Mesta,All India,2005-06,Total,8.98,108.4,2173.0,DA&FW
Jute & Mesta,All India,2006-07,Total,9.35,112.73,2170.0,DA&FW
Jute & Mesta,All India,2007-08,Total,9.6,112.11,2101.0,DA&FW
Jute & Mesta,All India,2008-09,Total,9.01,103.65,2071.0,DA&FW
Jute & Mesta,All India,2009-10,Total,9.05,118.17,2349.0,DA&FW
Jute & Mesta,All India,2010-11,Total,8.72,106.2,2192.0,DA&FW
Jute & Mesta,All India,2011-12,Total,9.05,113.99,2268.0,DA&FW
Jute & Mesta,All India,2012-13,Total,8.63,109.3,2281.0,DA&FW
Jute & Mesta,All India,2013-14,Total,8.38,116.9,2512.0,DA&FW
Jute & Mesta,All India,2014-15,Total,8.1,111.26,2473.0,DA&FW
Jute & Mesta,All India,2015-16,Total,7.82,105.24,2421.0,DA&FW
Jute & Mesta,All India,2016-17,Total,7.63,109.62,2585.0,DA&FW
Jute & Mesta,All India,2017-18,Total,7.42,100.33,2435.0,DA&FW
Jute & Mesta,All India,2018-19,Total,7.05,98.2,2508.0,DA&FW
Jute & Mesta,All India,2019-20,Total,6.73,98.77,2641.0,DA&FW
Jute & Mesta,All India,2020-21,Total,6.62,93.54,2542.0,DA&FW
Jute & Mesta,All India,2021-22,Total,6.67,101.49,2738.0,DA&FW
Jute & Mesta,All India,2022-23,Total,6.58,93.92,2570.0,DA&FW
Jute & Mesta,All India,2023-24,Total,6.37,96.92,2737.0,DA&FW
Jute & Mesta,All India,2024-25,Total,5.74,88.02,2758.0,DA&FW
Jute & Mesta,All India,2025-26,Total,5.46,83.45,2749.0,DA&FW
Mesta,All India,1966-67,Total,3.22,12.21,683.0,DA&FW
Mesta,All India,1967-68,Total,3.21,12.72,715.0,DA&FW
Mesta,All India,1968-69,Total,2.76,9.07,591.0,DA&FW
Mesta,All India,1969-70,Total,3.21,11.3,633.0,DA&FW
Mesta,All India,1970-71,Total,3.3,12.55,684.0,DA&FW
Mesta,All India,1971-72,Total,2.96,11.5,700.0,DA&FW
Mesta,All India,1972-73,Total,2.93,11.12,684.0,DA&FW
Mesta,All India,1973-74,Total,3.7,14.56,708.0,DA&FW
Mesta,All India,1974-75,Total,3.19,13.63,769.0,DA&FW
Mesta,All India,1975-76,Total,3.3,14.74,805.0,DA&FW
Mesta,All India,1976-77,Total,3.52,17.46,894.0,DA&FW
Mesta,All India,1977-78,Total,3.65,17.93,883.0,DA&FW
Mesta,All India,1978-79,Total,3.8,18.63,882.0,DA&FW
Mesta,All India,1979-80,Total,3.83,18.9,888.0,DA&FW
Mesta,All India,1980-81,Total,3.59,16.52,828.0,DA&FW
Mesta,All India,1981-82,Total,3.24,15.83,880.0,DA&FW
Mesta,All India,1982-83,Total,2.86,12.25,771.0,DA&FW
Mesta,All India,1983-84,Total,2.94,13.99,858.0,DA&FW
Mesta,All India,1984-85,Total,2.96,12.56,764.0,DA&FW
Mesta,All India,1985-86,Total,3.48,17.61,910.0,DA&FW
Mesta,All India,1986-87,Total,2.65,12.73,865.0,DA&FW
Mesta,All India,1987-88,Total,2.51,9.85,707.0,DA&FW
Mesta,All India,1988-89,Total,2.28,11.49,909.0,DA&FW
Mesta,All India,1989-90,Total,2.29,11.37,893.0,DA&FW
Mesta,All India,1990-91,Total,2.39,13.11,988.0,DA&FW
Mesta,All India,1991-92,Total,2.38,13.5,1019.0,DA&FW
Mesta,All India,1992-93,Total,2.07,10.94,951.0,DA&FW
Mesta,All India,1993-94,Total,1.91,10.68,1008.0,DA&FW
Mesta,All India,1994-95,Total,1.9,10.79,1023.0,DA&FW
Mesta,All India,1995-96,Total,1.89,11.32,1078.0,DA&FW
Mesta,All India,1996-97,Total,2.04,11.7,1031.0,DA&FW
Mesta,All India,1997-98,Total,2.01,10.6,952.0,DA&FW
Mesta,All India,1998-99,Total,1.77,9.7,986.0,DA&FW
