cropname,statename,cropyear,seasonname,Production (Lakh Tonnes),majorcrops,Source
Groundnut,Others,2025-26,Total,0.07,,DA&FW
Groundnut,Himachal Pradesh,2025-26,Total,0.0,"Maize, Wheat, Rice, Other Pulses, Barley",DA&FW
Groundnut,Punjab,2025-26,Total,0.04,"Wheat, Rice, Sugarcane, Cotton, Maize",DA&FW
Groundnut,Uttarakhand,2025-26,Total,0.0,"Sugarcane, Wheat, Rice, Ragi, Small Millets",DA&FW
Groundnut,Haryana,2025-26,Total,0.11,"Wheat, Sugarcane, Rice, Rapeseed & Mustard, Cotton",DA&FW
Groundnut,Rajasthan,2025-26,Total,22.19,"Wheat, Rapeseed & Mustard, Bajra, Cotton, Maize",DA&FW
Groundnut,Uttar Pradesh,2025-26,Total,2.87,"Sugarcane, Wheat, Rice, Bajra, Maize",DA&FW
Groundnut,Bihar,2025-26,Total,0.01,"Sugarcane, Rice, Wheat, Maize, Jute",DA&FW
Groundnut,West Bengal,2025-26,Total,0.1,"Rice, Jute, Maize, Sugarcane, Rapeseed & Mustard",DA&FW
Groundnut,Jharkhand,2025-26,Total,0.25,"Rice, Maize, Wheat, Rapeseed & Mustard, Gram",DA&FW
Groundnut,Odisha,2025-26,Total,0.25,"Rice, Cotton, Sugarcane, Maize, Other Pulses",DA&FW
Groundnut,Chhattisgarh,2025-26,Total,0.29,"Rice, Sugarcane, Maize, Gram, Wheat",DA&FW
Groundnut,Madhya Pradesh,2025-26,Total,9.68,"Wheat, Rice, Sugarcane, Maize, Soybean",DA&FW
Groundnut,Gujarat,2025-26,Total,66.1,"Sugarcane, Cotton, Groundnut, Wheat, Rice",DA&FW
Groundnut,Maharashtra,2025-26,Total,1.78,"Sugarcane, Cotton, Soybean, Maize, Rice",DA&FW
Groundnut,Andhra Pradesh,2025-26,Total,1.49,"Rice, Sugarcane, Maize, Cotton, Groundnut",DA&FW
Groundnut,Karnataka,2025-26,Total,1.73,"Sugarcane, Maize, Rice, Cotton, Ragi",DA&FW
Groundnut,Kerala,2025-26,Total,0.0,"Rice, Sugarcane, Other Pulses, Urad, Gram",DA&FW
Groundnut,Tamil Nadu,2025-26,Total,3.81,"Sugarcane, Rice, Maize, Groundnut, Jowar",DA&FW
Groundnut,Telangana,2025-26,Total,0.14,"Rice, Cotton, Maize, Sugarcane, Soybean",DA&FW
Groundnut,All India,2025-26,Total,110.93,,DA&FW
