cropname,statename,cropyear,seasonname,Area (Lakh Ha),Production (Lakh Tonnes),Yield (Kg/Ha),Source
Castorseed,All India,1966-67,Total,4.01,1.1,274.0,DA&FW
Castorseed,All India,1967-68,Total,4.39,1.21,276.0,DA&FW
Castorseed,All India,1968-69,Total,3.94,1.16,294.0,DA&FW
Castorseed,All India,1969-70,Total,4.02,1.23,306.0,DA&FW
Castorseed,All India,1970-71,Total,4.39,1.36,310.0,DA&FW
Castorseed,All India,1971-72,Total,4.53,1.54,340.0,DA&FW
Castorseed,All India,1972-73,Total,4.26,1.45,341.0,DA&FW
Castorseed,All India,1973-74,Total,5.47,2.29,419.0,DA&FW
Castorseed,All India,1974-75,Total,5.9,2.1,356.0,DA&FW
Castorseed,All India,1975-76,Total,3.75,1.43,381.0,DA&FW
Castorseed,All India,1976-77,Total,4.96,1.79,361.0,DA&FW
Castorseed,All India,1977-78,Total,3.8,2.17,572.0,DA&FW
Castorseed,All India,1978-79,Total,4.47,2.29,513.0,DA&FW
Castorseed,All India,1979-80,Total,4.41,2.27,516.0,DA&FW
Castorseed,All India,1980-81,Total,4.98,2.05,413.0,DA&FW
Castorseed,All India,1981-82,Total,5.58,3.1,556.0,DA&FW
Castorseed,All India,1982-83,Total,5.8,3.45,594.0,DA&FW
Castorseed,All India,1983-84,Total,6.23,4.05,649.0,DA&FW
Castorseed,All India,1984-85,Total,6.71,4.7,700.0,DA&FW
Castorseed,All India,1985-86,Total,6.37,3.08,484.0,DA&FW
Castorseed,All India,1986-87,Total,5.78,2.3,399.0,DA&FW
Castorseed,All India,1987-88,Total,4.8,1.95,407.0,DA&FW
Castorseed,All India,1988-89,Total,6.31,4.16,658.0,DA&FW
Castorseed,All India,1989-90,Total,7.02,5.17,736.0,DA&FW
Castorseed,All India,1990-91,Total,8.1,7.16,884.0,DA&FW
Castorseed,All India,1991-92,Total,7.12,5.77,810.0,DA&FW
Castorseed,All India,1992-93,Total,6.6,6.23,945.0,DA&FW
Castorseed,All India,1993-94,Total,6.85,6.35,927.0,DA&FW
Castorseed,All India,1994-95,Total,7.79,8.45,1085.0,DA&FW
Castorseed,All India,1995-96,Total,7.89,7.77,985.0,DA&FW
Castorseed,All India,1996-97,Total,7.4,9.0,1216.0,DA&FW
Castorseed,All India,1997-98,Total,6.41,8.3,1294.0,DA&FW
Castorseed,All India,1998-99,Total,6.82,8.4,1231.0,DA&FW
Castorseed,All India,1999-00,Total,7.82,7.7,985.0,DA&FW
Castorseed,All India,2000-01,Total,10.8,8.8,815.0,DA&FW
Castorseed,All India,2001-02,Total,7.17,6.53,911.0,DA&FW
Castorseed,All India,2002-03,Total,5.83,4.28,733.0,DA&FW
Castorseed,All India,2003-04,Total,7.17,7.97,1111.0,DA&FW
Castorseed,All India,2004-05,Total,7.43,7.93,1068.0,DA&FW
Castorseed,All India,2005-06,Total,8.64,9.91,1146.0,DA&FW
Castorseed,All India,2006-07,Total,6.28,7.62,1213.0,DA&FW
Castorseed,All India,2007-08,Total,7.87,10.54,1339.0,DA&FW
Castorseed,All India,2008-09,Total,8.66,11.71,1352.0,DA&FW
Castorseed,All India,2009-10,Total,7.35,10.09,1373.0,DA&FW
Castorseed,All India,2010-11,Total,8.8,13.5,1534.0,DA&FW
Castorseed,All India,2011-12,Total,14.71,22.95,1560.0,DA&FW
Castorseed,All India,2012-13,Total,12.34,19.63,1592.0,DA&FW
Castorseed,All India,2013-14,Total,10.63,17.27,1624.0,DA&FW
Castorseed,All India,2014-15,Total,10.89,18.7,1717.0,DA&FW
Castorseed,All India,2015-16,Total,10.61,17.52,1652.0,DA&FW
Castorseed,All India,2016-17,Total,8.08,13.76,1704.0,DA&FW
Castorseed,All India,2017-18,Total,8.24,15.68,1902.0,DA&FW
Castorseed,All India,2018-19,Total,7.51,11.97,1593.0,DA&FW
Castorseed,All India,2019-20,Total,10.46,18.42,1761.0,DA&FW
Castorseed,All India,2020-21,Total,8.87,16.47,1856.0,DA&FW
Castorseed,All India,2021-22,Total,8.31,16.19,1948.0,DA&FW
Castorseed,All India,2022-23,Total,10.19,19.8,1942.0,DA&FW
Castorseed,All India,2023-24,Total,10.41,19.59,1881.0,DA&FW
Castorseed,All India,2024-25,Total,9.65,17.86,1852.0,DA&FW
Castorseed,All India,2025-26,Total,8.9,16.96,1906.0,DA&FW
Groundnut,All India,1966-67,Total,72.99,44.11,604.0,DA&FW
Groundnut,All India,1967-68,Total,75.53,57.31,759.0,DA&FW
Groundnut,All India,1968-69,Total,70.88,46.31,653.0,DA&FW
Groundnut,All India,1969-70,Total,71.25,51.3,720.0,DA&FW
Groundnut,All India,1970-71,Total,73.26,61.11,834.0,DA&FW
Groundnut,All India,1971-72,Total,75.1,61.81,823.0,DA&FW
Groundnut,All India,1972-73,Total,69.9,40.92,585.0,DA&FW
Groundnut,All India,1973-74,Total,70.24,59.32,845.0,DA&FW
Groundnut,All India,1974-75,Total,70.63,51.11,724.0,DA&FW
Groundnut,All India,1975-76,Total,72.22,67.55,935.0,DA&FW
Groundnut,All India,1976-77,Total,70.43,52.64,747.0,DA&FW
Groundnut,All India,1977-78,Total,70.29,60.88,866.0,DA&FW
Groundnut,All India,1978-79,Total,74.33,62.09,835.0,DA&FW
Groundnut,All India,1979-80,Total,71.65,57.68,805.0,DA&FW
Groundnut,All India,1980-81,Total,68.01,50.05,736.0,DA&FW
Groundnut,All India,1981-82,Total,74.3,72.23,972.0,DA&FW
Groundnut,All India,1982-83,Total,72.14,52.82,732.0,DA&FW
Groundnut,All India,1983-84,Total,75.39,70.86,940.0,DA&FW
Groundnut,All India,1984-85,Total,71.68,64.36,898.0,DA&FW
Groundnut,All India,1985-86,Total,71.24,51.2,719.0,DA&FW
Groundnut,All India,1986-87,Total,69.82,58.75,841.0,DA&FW
Groundnut,All India,1987-88,Total,68.44,58.54,855.0,DA&FW
Groundnut,All India,1988-89,Total,85.29,96.59,1132.0,DA&FW
Groundnut,All India,1989-90,Total,87.1,81.01,930.0,DA&FW
Groundnut,All India,1990-91,Total,83.09,75.15,904.0,DA&FW
Groundnut,All India,1991-92,Total,86.68,70.95,818.0,DA&FW
Groundnut,All India,1992-93,Total,81.66,85.65,1049.0,DA&FW
Groundnut,All India,1993-94,Total,83.22,78.29,941.0,DA&FW
Groundnut,All India,1994-95,Total,78.49,80.62,1027.0,DA&FW
Groundnut,All India,1995-96,Total,75.25,75.81,1007.0,DA&FW
Groundnut,All India,1996-97,Total,75.95,75.89,999.0,DA&FW
Groundnut,All India,1997-98,Total,70.88,73.7,1040.0,DA&FW
Groundnut,All India,1998-99,Total,73.96,89.8,1214.0,DA&FW
Groundnut,All India,1999-00,Total,68.67,52.5,764.0,DA&FW
Groundnut,All India,2000-01,Total,65.59,64.1,977.0,DA&FW
Groundnut,All India,2001-02,Total,62.38,70.28,1127.0,DA&FW
Groundnut,All India,2002-03,Total,59.36,41.21,694.0,DA&FW
Groundnut,All India,2003-04,Total,59.87,81.27,1357.0,DA&FW
Groundnut,All India,2004-05,Total,66.4,67.74,1020.0,DA&FW
Groundnut,All India,2005-06,Total,67.36,79.93,1187.0,DA&FW
Groundnut,All India,2006-07,Total,56.15,48.64,866.0,DA&FW
Groundnut,All India,2007-08,Total,62.92,91.83,1459.0,DA&FW
Groundnut,All India,2008-09,Total,61.65,71.68,1163.0,DA&FW
Groundnut,All India,2009-10,Total,54.78,54.28,991.0,DA&FW
Groundnut,All India,2010-11,Total,58.56,82.66,1411.0,DA&FW
Groundnut,All India,2011-12,Total,52.64,69.64,1323.0,DA&FW
Groundnut,All India,2012-13,Total,47.21,46.95,995.0,DA&FW
Groundnut,All India,2013-14,Total,55.05,97.14,1764.0,DA&FW
Groundnut,All India,2014-15,Total,47.69,74.02,1552.0,DA&FW
Groundnut,All India,2015-16,Total,45.96,67.33,1465.0,DA&FW
Groundnut,All India,2016-17,Total,53.38,74.62,1398.0,DA&FW
Groundnut,All India,2017-18,Total,48.88,92.53,1893.0,DA&FW
Groundnut,All India,2018-19,Total,47.31,67.27,1422.0,DA&FW
Groundnut,All India,2019-20,Total,48.25,99.52,2063.0,DA&FW
Groundnut,All India,2020-21,Total,60.15,102.44,1703.0,DA&FW
Groundnut,All India,2021-22,Total,57.05,101.35,1777.0,DA&FW
Groundnut,All India,2022-23,Total,49.61,102.97,2075.0,DA&FW
Groundnut,All India,2023-24,Total,47.07,101.8,2163.0,DA&FW
Groundnut,All India,2024-25,Total,57.62,119.42,2073.0,DA&FW
Groundnut,All India,2025-26,Total,47.21,110.93,2350.0,DA&FW
Linseed,All India,1966-67,Total,14.95,2.6,174.0,DA&FW
Linseed,All India,1967-68,Total,17.77,4.38,247.0,DA&FW
Linseed,All India,1968-69,Total,16.97,3.29,194.0,DA&FW
Linseed,All India,1969-70,Total,18.03,4.69,260.0,DA&FW
Linseed,All India,1970-71,Total,18.97,4.74,250.0,DA&FW
Linseed,All India,1971-72,Total,20.64,5.3,256.0,DA&FW
Linseed,All India,1972-73,Total,17.26,4.28,248.0,DA&FW
Linseed,All India,1973-74,Total,20.38,5.04,247.0,DA&FW
Linseed,All India,1974-75,Total,20.71,5.64,272.0,DA&FW
Linseed,All India,1975-76,Total,21.19,5.98,282.0,DA&FW
Linseed,All India,1976-77,Total,18.88,4.19,222.0,DA&FW
Linseed,All India,1977-78,Total,20.1,5.27,262.0,DA&FW
Linseed,All India,1978-79,Total,20.92,5.35,256.0,DA&FW
Linseed,All India,1979-80,Total,16.14,2.69,167.0,DA&FW
Linseed,All India,1980-81,Total,16.73,4.23,253.0,DA&FW
Linseed,All India,1981-82,Total,18.2,4.83,265.0,DA&FW
Linseed,All India,1982-83,Total,14.04,3.75,267.0,DA&FW
Linseed,All India,1983-84,Total,14.87,4.44,299.0,DA&FW
Linseed,All India,1984-85,Total,13.95,3.89,279.0,DA&FW
Linseed,All India,1985-86,Total,14.24,3.76,264.0,DA&FW
Linseed,All India,1986-87,Total,11.55,3.17,274.0,DA&FW
Linseed,All India,1987-88,Total,11.51,3.93,342.0,DA&FW
Linseed,All India,1988-89,Total,11.99,3.61,301.0,DA&FW
Linseed,All India,1989-90,Total,11.24,3.26,290.0,DA&FW
Linseed,All India,1990-91,Total,10.99,3.32,302.0,DA&FW
Linseed,All India,1991-92,Total,8.86,2.92,329.0,DA&FW
Linseed,All India,1992-93,Total,8.95,2.78,311.0,DA&FW
Linseed,All India,1993-94,Total,9.53,3.3,346.0,DA&FW
Linseed,All India,1994-95,Total,9.48,3.23,340.0,DA&FW
Linseed,All India,1995-96,Total,8.43,2.92,346.0,DA&FW
Linseed,All India,1996-97,Total,8.27,3.1,375.0,DA&FW
Linseed,All India,1997-98,Total,7.94,2.4,302.0,DA&FW
Linseed,All India,1998-99,Total,7.49,2.7,360.0,DA&FW
Linseed,All India,1999-00,Total,5.93,2.4,405.0,DA&FW
Linseed,All India,2000-01,Total,5.8,2.0,345.0,DA&FW
Linseed,All India,2001-02,Total,5.36,2.09,390.0,DA&FW
Linseed,All India,2002-03,Total,4.5,1.77,393.0,DA&FW
Linseed,All India,2003-04,Total,4.77,1.97,412.0,DA&FW
Linseed,All India,2004-05,Total,4.49,1.7,378.0,DA&FW
Linseed,All India,2005-06,Total,4.37,1.73,395.0,DA&FW
Linseed,All India,2006-07,Total,4.37,1.68,385.0,DA&FW
Linseed,All India,2007-08,Total,4.68,1.63,349.0,DA&FW
Linseed,All India,2008-09,Total,4.08,1.69,415.0,DA&FW
Linseed,All India,2009-10,Total,3.42,1.54,449.0,DA&FW
Linseed,All India,2010-11,Total,3.59,1.47,408.0,DA&FW
Linseed,All India,2011-12,Total,3.23,1.52,473.0,DA&FW
Linseed,All India,2012-13,Total,2.96,1.49,502.0,DA&FW
Linseed,All India,2013-14,Total,2.93,1.42,484.0,DA&FW
Linseed,All India,2014-15,Total,2.85,1.55,541.0,DA&FW
Linseed,All India,2015-16,Total,2.63,1.25,477.0,DA&FW
Linseed,All India,2016-17,Total,3.25,1.84,567.0,DA&FW
Linseed,All India,2017-18,Total,3.26,1.74,533.0,DA&FW
Linseed,All India,2018-19,Total,1.73,0.99,574.0,DA&FW
Linseed,All India,2019-20,Total,1.8,1.21,671.0,DA&FW
Linseed,All India,2020-21,Total,1.75,1.11,637.0,DA&FW
Linseed,All India,2021-22,Total,1.97,1.26,642.0,DA&FW
Linseed,All India,2022-23,Total,2.39,1.67,698.0,DA&FW
Linseed,All India,2023-24,Total,1.75,1.13,644.0,DA&FW
Linseed,All India,2024-25,Total,1.69,1.12,666.0,DA&FW
Nigerseed,All India,1966-67,Total,4.73,0.79,166.0,DA&FW
Nigerseed,All India,1967-68,Total,4.68,0.98,209.0,DA&FW
Nigerseed,All India,1968-69,Total,4.41,0.89,203.0,DA&FW
Nigerseed,All India,1969-70,Total,4.82,0.98,203.0,DA&FW
Nigerseed,All India,1970-71,Total,4.89,1.28,261.0,DA&FW
Nigerseed,All India,1971-72,Total,4.94,1.16,235.0,DA&FW
Nigerseed,All India,1972-73,Total,4.67,0.93,198.0,DA&FW
Nigerseed,All India,1973-74,Total,5.52,1.36,246.0,DA&FW
Nigerseed,All India,1974-75,Total,6.21,1.32,213.0,DA&FW
Nigerseed,All India,1975-76,Total,6.15,1.51,245.0,DA&FW
Nigerseed,All India,1976-77,Total,5.68,1.13,199.0,DA&FW
Nigerseed,All India,1977-78,Total,6.09,1.48,243.0,DA&FW
Nigerseed,All India,1978-79,Total,6.12,1.47,239.0,DA&FW
Nigerseed,All India,1979-80,Total,5.84,1.05,181.0,DA&FW
Nigerseed,All India,1980-81,Total,5.99,1.46,244.0,DA&FW
Nigerseed,All India,1981-82,Total,6.04,1.6,265.0,DA&FW
Nigerseed,All India,1982-83,Total,4.98,1.18,236.0,DA&FW
Nigerseed,All India,1983-84,Total,5.99,1.76,294.0,DA&FW
Nigerseed,All India,1984-85,Total,5.9,1.48,251.0,DA&FW
Nigerseed,All India,1985-86,Total,6.35,1.92,303.0,DA&FW
Nigerseed,All India,1986-87,Total,5.87,1.31,224.0,DA&FW
Nigerseed,All India,1987-88,Total,6.39,1.79,281.0,DA&FW
Nigerseed,All India,1988-89,Total,6.04,1.78,294.0,DA&FW
Nigerseed,All India,1989-90,Total,6.22,1.87,300.0,DA&FW
Nigerseed,All India,1990-91,Total,6.11,1.86,305.0,DA&FW
Nigerseed,All India,1991-92,Total,6.4,1.8,280.0,DA&FW
Nigerseed,All India,1992-93,Total,5.85,1.62,277.0,DA&FW
Nigerseed,All India,1993-94,Total,5.99,1.96,327.0,DA&FW
Nigerseed,All India,1994-95,Total,5.92,1.9,321.0,DA&FW
Nigerseed,All India,1995-96,Total,6.01,1.9,316.0,DA&FW
Nigerseed,All India,1996-97,Total,5.23,1.5,287.0,DA&FW
Nigerseed,All India,1997-98,Total,5.21,1.4,269.0,DA&FW
Nigerseed,All India,1998-99,Total,4.95,1.4,282.0,DA&FW
Nigerseed,All India,1999-00,Total,4.8,1.5,313.0,DA&FW
Nigerseed,All India,2000-01,Total,4.4,1.1,250.0,DA&FW
Nigerseed,All India,2001-02,Total,4.78,1.3,272.0,DA&FW
Nigerseed,All India,2002-03,Total,4.14,0.86,208.0,DA&FW
Nigerseed,All India,2003-04,Total,4.32,1.09,252.0,DA&FW
Nigerseed,All India,2004-05,Total,4.3,1.12,261.0,DA&FW
Nigerseed,All India,2005-06,Total,4.14,1.08,261.0,DA&FW
Nigerseed,All India,2006-07,Total,4.69,1.21,258.0,DA&FW
Nigerseed,All India,2007-08,Total,4.08,1.1,269.0,DA&FW
Nigerseed,All India,2008-09,Total,3.93,1.17,297.0,DA&FW
Nigerseed,All India,2009-10,Total,3.75,1.0,266.0,DA&FW
Nigerseed,All India,2010-11,Total,3.71,1.08,290.0,DA&FW
Nigerseed,All India,2011-12,Total,3.64,0.98,269.0,DA&FW
Nigerseed,All India,2012-13,Total,3.1,1.01,325.0,DA&FW
Nigerseed,All India,2013-14,Total,2.99,0.98,328.0,DA&FW
Nigerseed,All India,2014-15,Total,2.32,0.76,328.0,DA&FW
Nigerseed,All India,2015-16,Total,2.52,0.74,295.0,DA&FW
Nigerseed,All India,2016-17,Total,2.56,0.85,332.0,DA&FW
Nigerseed,All India,2017-18,Total,2.18,0.7,321.0,DA&FW
Nigerseed,All India,2018-19,Total,1.56,0.45,290.0,DA&FW
Nigerseed,All India,2019-20,Total,1.36,0.41,303.0,DA&FW
Nigerseed,All India,2020-21,Total,1.34,0.42,317.0,DA&FW
Nigerseed,All India,2021-22,Total,0.97,0.33,337.0,DA&FW
Nigerseed,All India,2022-23,Total,0.88,0.29,325.0,DA&FW
Nigerseed,All India,2023-24,Total,0.83,0.27,323.0,DA&FW
Nigerseed,All India,2024-25,Total,1.01,0.4,394.0,DA&FW
Nigerseed,All India,2025-26,Total,1.07,0.4,369.0,DA&FW
Rapeseed & Mustard,All India,1966-67,Total,30.06,12.28,408.0,DA&FW
Rapeseed & Mustard,All India,1967-68,Total,32.44,15.68,483.0,DA&FW
Rapeseed & Mustard,All India,1968-69,Total,28.7,13.47,469.0,DA&FW
Rapeseed & Mustard,All India,1969-70,Total,31.73,15.64,493.0,DA&FW
Rapeseed & Mustard,All India,1970-71,Total,33.23,19.75,594.0,DA&FW
Rapeseed & Mustard,All India,1971-72,Total,36.14,14.33,396.0,DA&FW
Rapeseed & Mustard,All India,1972-73,Total,33.19,18.08,545.0,DA&FW
Rapeseed & Mustard,All India,1973-74,Total,34.57,17.04,493.0,DA&FW
Rapeseed & Mustard,All India,1974-75,Total,36.8,22.52,612.0,DA&FW
Rapeseed & Mustard,All India,1975-76,Total,33.39,19.36,580.0,DA&FW
Rapeseed & Mustard,All India,1976-77,Total,31.29,15.51,496.0,DA&FW
Rapeseed & Mustard,All India,1977-78,Total,35.84,16.5,460.0,DA&FW
